블루아카이브 = BA / 명조=WW / 원신=GI / 니케=NK / 소녀전선=GP / 벽람항로=AL,,,,,,,,,,,,,
"영문 대문자·숫자 1~6자, 고유",회사명,섹터(같은 문자열끼리 섹터 이벤트로 묶임),"상장가, 양의 정수(원)","틱당 변동성, 0.01(안정)~0.06(급등락) 권장","장기 성향, -0.001~0.002","시장 민감도. 1=시장과 동일, 1.5=공격적, 0.5=방어적",회사 한 줄 소개,태그:배수;태그:배수 — 태그: 수주 신제품 실적 스캔들 행보,비우면 캐릭터 없는 회사,직함(기본 CEO),천재;은둔형 식,한 줄 설정,이모지(기본 👤)
ticker,name,sector,initialPrice,volatility,drift,beta,description,eventBias,ceoName,ceoTitle,ceoTraits,ceoBio,ceoEmoji
BARIDC,RIO Defense Corporation,방산,98000,0.03,0.0005,0.7,궤도 방위 시스템과 전술 AI를 개발하는 방산 기업.,수주:4;스캔들:0.5,츠카츠키 리오,CEO,천재;은둔형;회피형,모습을 드러내지 않고 태스크 목록만으로 회사 전체를 지휘하는 은둔형 천재.,🛰️
BAQQQ,,지수,,,,,,,우시오 노아,,,,
,,학원채;밀레니엄,,,,,,,하야세 유우카,,,,
,,게임,,,,,,,텐도 아리스,,,,
,,보안,,,,,,,아케보시 히마리,,,,
,,PMC,,,,,,,미카모 네루,,,,
,,방산,,,,,,,네코즈카 히비키,,,,
,,헬스케어,,,,,,,오토하나 스미레,,,,
BASPY,,지수,,,,,,,나나가미 린,,,,
,,방산,,,,,,,시라누이 카야,,,,
,,지역채;키보토스,,,,,,,오키 아오이,,,,
,,PMC,,,,,,,타카나시 호시노,,,,
,,학원채;아비도스,,,,,,,이자요이 노노미,,,,
,,PMC,,,,,,,리쿠하치마 아루,,,,
,,PMC,,,,,,,소라사키 히나,,,,
,,요식업,,,,,,,쿠로다테 하루나,,,,
,,요식업,,,,,,,아이키요 후우카,,,,
,,바이오,,,,,,,히무로 세나,,,,
,,건설,,,,,,,키누가와 카스미,,,,
,,화장품,,,,,,,요자쿠라 키라라,,,,
,,학원채;게헨나,,,,,,,하누마 마코토,,,,
,,교육,,,,,,,우라와 하나코,,,,
,,PMC,,,,,,,모리즈키 스즈미,,,,
,,미디어,,,,,,,코제키 우이,,,,
,,요식업,,,,,,,쿠리무라 아이리,,,,
,,바이오,,,,,,,아오모리 미네,,,,
,,PMC,,,,,,,켄자키 츠루기,,,,
,,관광,,,,,,,이오치 마리,,,,
,,학원채;트리니티,,,,,,,미소노 미카,,,,